area,part_of,ts,cases,fatalities,recovered,tested,hospitalized,ventilated
HR,,2020-02-26 08:00:00,2,0,0,,,
HR,,2020-02-27 08:00:00,3,0,0,,,
HR,,2020-02-28 08:00:00,3,0,0,,,
HR,,2020-02-29 08:00:00,5,0,0,,,
HR,,2020-03-01 08:00:00,7,0,0,,,
HR,,2020-03-02 08:00:00,8,0,0,,,
HR,,2020-03-03 08:00:00,9,0,0,,,
HR,,2020-03-04 08:00:00,9,0,0,,,
HR,,2020-03-05 08:00:00,10,0,0,,,
HR,,2020-03-06 08:00:00,10,0,0,,,
HR,,2020-03-07 08:00:00,11,0,0,,,
HR,,2020-03-08 08:00:00,12,0,0,,,
HR,,2020-03-09 08:00:00,12,0,0,,,
HR,,2020-03-10 08:00:00,13,0,0,,,
HR,,2020-03-11 08:00:00,16,0,0,,,
HR,,2020-03-12 08:00:00,19,0,1,,,
HR,,2020-03-13 20:30:00,32,0,1,,,
HR,,2020-03-14 09:30:00,37,0,2,,,
HR,,2020-03-15 21:52:00,49,0,3,,,
HR,,2020-03-16 17:07:00,57,0,4,,,
HR,,2020-03-17 23:17:00,69,0,5,,,
HR,,2020-03-18 22:33:00,89,0,5,,,
HR,,2020-03-19 19:32:00,105,0,5,,,
HR,,2020-03-20 16:16:00,128,0,5,,,
HR,,2020-03-21 16:07:00,206,0,5,,,
HR,,2020-03-23 08:54:00,254,0,5,,,
HR,,2020-03-25 10:52:00,382,0,16,,,
HR,,2020-03-25 12:40:00,315,0,5,,,
HR,,2020-03-25 17:12:00,442,1,22,,,
HR,,2020-03-27 16:04:00,586,3,37,,,
HR,,2020-03-27 16:17:00,495,3,22,,,
HR,,2020-03-29 15:44:00,657,5,49,,,
HR,,2020-03-30 14:16:00,790,6,64,,,
HR,,2020-03-30 14:21:00,713,6,52,,,
HR,,2020-03-31 14:47:00,867,6,67,,,
HR,,2020-04-01 14:16:00,963,6,73,,,
HR,,2020-04-02 14:04:00,1011,7,88,,,
HR,,2020-04-03 14:04:00,1079,8,92,,,
HR,,2020-04-04 14:04:00,1126,12,119,,,
HR,,2020-04-05 14:12:00,1182,15,125,,,
HR,,2020-04-06 14:05:00,1222,16,130,,,
HR,,2020-04-07 14:06:00,1282,18,167,,,
HR,,2020-04-08 14:05:00,1343,19,179,,,
HR,,2020-04-09 14:08:00,1407,20,219,,,
HR,,2020-04-10 14:06:00,1495,21,231,,,
HR,,2020-04-11 14:07:00,1534,21,323,,,
HR,,2020-04-12 14:06:00,1600,23,373,,,
HR,,2020-04-13 14:07:00,1650,25,400,,,
HR,,2020-04-14 14:17:00,1704,31,415,,,
HR,,2020-04-15 15:30:00,1741,33,473,,,
HR,,2020-04-16 14:12:00,1791,35,529,,,
HR,,2020-04-17 14:06:00,1814,36,600,,,
HR,,2020-04-18 14:05:00,1832,39,615,,,
HR,,2020-04-19 14:07:00,1871,47,709,,,
HR,,2020-04-20 14:09:00,1881,47,771,,,
HR,,2020-04-21 14:08:00,1908,48,801,,,
HR,,2020-04-22 14:04:00,1950,48,869,,,
HR,,2020-04-23 14:13:00,1981,50,883,,,
